,year,Count,label
0,1986,2,east_coast
1,1987,43,east_coast
2,1988,14,east_coast
3,1989,43,east_coast
4,1990,16,east_coast
5,1991,47,east_coast
6,1992,24,east_coast
7,1993,47,east_coast
8,1994,89,east_coast
9,1995,74,east_coast
10,1996,109,east_coast
11,1997,81,east_coast
12,1998,131,east_coast
0,1988,7,west_coast
1,1990,30,west_coast
2,1991,22,west_coast
3,1992,27,west_coast
4,1993,180,west_coast
5,1994,125,west_coast
6,1995,152,west_coast
7,1996,108,west_coast
8,1997,48,west_coast
9,1998,46,west_coast
